Date,Asset_Code,Price_Type,Price,Proxy_Level,Proxy_Name
1927-12-30,SPX,GTR,17.66,2,
1928-01-03,SPX,GTR,17.76,2,
1928-01-04,SPX,GTR,17.72,2,
1928-01-05,SPX,GTR,17.55,2,
1928-01-06,SPX,GTR,17.66,2,
1928-01-09,SPX,GTR,17.5,2,
1928-01-10,SPX,GTR,17.37,2,
1928-01-11,SPX,GTR,17.35,2,
1928-01-12,SPX,GTR,17.47,2,
1928-01-13,SPX,GTR,17.58,2,
1928-01-16,SPX,GTR,17.29,2,
1928-01-17,SPX,GTR,17.3,2,
1928-01-18,SPX,GTR,17.26,2,
1928-01-19,SPX,GTR,17.38,2,
1928-01-20,SPX,GTR,17.48,2,
1928-01-23,SPX,GTR,17.64,2,
1928-01-24,SPX,GTR,17.71,2,
1928-01-25,SPX,GTR,17.52,2,
1928-01-26,SPX,GTR,17.63,2,
1928-01-27,SPX,GTR,17.69,2,
1928-01-30,SPX,GTR,17.49,2,
1928-01-31,SPX,GTR,17.57,2,
1928-02-01,SPX,GTR,17.53,2,
1928-02-02,SPX,GTR,17.63,2,
1928-02-03,SPX,GTR,17.4,2,
1928-02-06,SPX,GTR,17.45,2,
1928-02-07,SPX,GTR,17.44,2,
1928-02-08,SPX,GTR,17.49,2,
1928-02-09,SPX,GTR,17.55,2,
1928-02-10,SPX,GTR,17.54,2,
1928-02-14,SPX,GTR,17.44,2,
1928-02-15,SPX,GTR,17.4,2,
1928-02-16,SPX,GTR,17.35,2,
1928-02-17,SPX,GTR,17.04,2,
1928-02-20,SPX,GTR,16.95,2,
1928-02-21,SPX,GTR,17.11,2,
1928-02-23,SPX,GTR,17.13,2,
1928-02-24,SPX,GTR,17.18,2,
1928-02-27,SPX,GTR,17.11,2,
1928-02-28,SPX,GTR,17.16,2,
1928-02-29,SPX,GTR,17.26,2,
1928-03-01,SPX,GTR,17.3,2,
1928-03-02,SPX,GTR,17.3,2,
1928-03-05,SPX,GTR,17.57,2,
1928-03-06,SPX,GTR,17.67,2,
1928-03-07,SPX,GTR,17.58,2,
1928-03-08,SPX,GTR,17.64,2,
1928-03-09,SPX,GTR,17.93,2,
1928-03-12,SPX,GTR,18.0,2,
1928-03-13,SPX,GTR,17.92,2,
1928-03-14,SPX,GTR,17.93,2,
1928-03-15,SPX,GTR,18.07,2,
1928-03-16,SPX,GTR,18.26,2,
1928-03-19,SPX,GTR,18.36,2,
1928-03-20,SPX,GTR,18.46,2,
1928-03-21,SPX,GTR,18.65,2,
1928-03-22,SPX,GTR,18.6,2,
1928-03-23,SPX,GTR,18.78,2,
1928-03-26,SPX,GTR,19.05,2,
1928-03-27,SPX,GTR,18.94,2,
1928-03-28,SPX,GTR,18.89,2,
1928-03-29,SPX,GTR,18.95,2,
1928-03-30,SPX,GTR,19.28,2,
1928-04-02,SPX,GTR,18.91,2,
1928-04-03,SPX,GTR,19.02,2,
1928-04-04,SPX,GTR,18.99,2,
1928-04-05,SPX,GTR,19.23,2,
1928-04-09,SPX,GTR,19.27,2,
1928-04-10,SPX,GTR,19.1,2,
1928-04-11,SPX,GTR,19.44,2,
1928-04-12,SPX,GTR,19.41,2,
1928-04-13,SPX,GTR,19.73,2,
1928-04-16,SPX,GTR,19.68,2,
1928-04-17,SPX,GTR,19.52,2,
1928-04-18,SPX,GTR,19.52,2,
1928-04-19,SPX,GTR,19.63,2,
1928-04-20,SPX,GTR,19.34,2,
1928-04-23,SPX,GTR,19.15,2,
1928-04-24,SPX,GTR,19.25,2,
1928-04-25,SPX,GTR,19.33,2,
1928-04-26,SPX,GTR,19.47,2,
1928-04-27,SPX,GTR,19.68,2,
1928-04-30,SPX,GTR,19.75,2,
1928-05-01,SPX,GTR,19.78,2,
1928-05-02,SPX,GTR,19.83,2,
1928-05-03,SPX,GTR,19.93,2,
1928-05-04,SPX,GTR,20.24,2,
1928-05-07,SPX,GTR,20.41,2,
1928-05-08,SPX,GTR,20.27,2,
1928-05-09,SPX,GTR,20.24,2,
1928-05-10,SPX,GTR,20.21,2,
1928-05-11,SPX,GTR,20.36,2,
1928-05-14,SPX,GTR,20.44,2,
1928-05-15,SPX,GTR,20.39,2,
1928-05-16,SPX,GTR,20.05,2,
1928-05-17,SPX,GTR,20.12,2,
1928-05-18,SPX,GTR,19.92,2,
1928-05-21,SPX,GTR,19.63,2,
1928-05-22,SPX,GTR,19.36,2,
1928-05-23,SPX,GTR,19.75,2,
1928-05-24,SPX,GTR,19.87,2,
1928-05-25,SPX,GTR,19.9,2,
1928-05-28,SPX,GTR,19.57,2,
1928-05-29,SPX,GTR,19.82,2,
1928-05-31,SPX,GTR,20.0,2,
1928-06-01,SPX,GTR,20.07,2,
1928-06-04,SPX,GTR,19.8,2,
1928-06-05,SPX,GTR,19.85,2,
1928-06-06,SPX,GTR,19.66,2,
