Date,Asset_Code,Price_Type,Price,Proxy_Level,Proxy_Name
1927-12-30,SPX-UCITS,NTR,1.933404214,2,
1928-01-03,SPX-UCITS,NTR,1.944979175,2,
1928-01-04,SPX-UCITS,NTR,1.940756288,2,
1928-01-05,SPX-UCITS,NTR,1.922294648,2,
1928-01-06,SPX-UCITS,NTR,1.934499076,2,
1928-01-09,SPX-UCITS,NTR,1.917443011,2,
1928-01-10,SPX-UCITS,NTR,1.903354612,2,
1928-01-11,SPX-UCITS,NTR,1.901317391,2,
1928-01-12,SPX-UCITS,NTR,1.91462187,2,
1928-01-13,SPX-UCITS,NTR,1.926832537,2,
1928-01-16,SPX-UCITS,NTR,1.895516148,2,
1928-01-17,SPX-UCITS,NTR,1.896766142,2,
1928-01-18,SPX-UCITS,NTR,1.892534343,2,
1928-01-19,SPX-UCITS,NTR,1.905845616,2,
1928-01-20,SPX-UCITS,NTR,1.91696588,2,
1928-01-23,SPX-UCITS,NTR,1.934978754,2,
1928-01-24,SPX-UCITS,NTR,1.942814126,2,
1928-01-25,SPX-UCITS,NTR,1.922128356,2,
1928-01-26,SPX-UCITS,NTR,1.934352358,2,
1928-01-27,SPX-UCITS,NTR,1.941092354,2,
1928-01-30,SPX-UCITS,NTR,1.919618853,2,
1928-01-31,SPX-UCITS,NTR,1.928554911,2,
1928-02-01,SPX-UCITS,NTR,1.924320712,2,
1928-02-02,SPX-UCITS,NTR,1.935454034,2,
1928-02-03,SPX-UCITS,NTR,1.910361132,2,
1928-02-06,SPX-UCITS,NTR,1.916315345,2,
1928-02-07,SPX-UCITS,NTR,1.915372542,2,
1928-02-08,SPX-UCITS,NTR,1.921019159,2,
1928-02-09,SPX-UCITS,NTR,1.92776503,2,
1928-02-10,SPX-UCITS,NTR,1.926822889,2,
1928-02-14,SPX-UCITS,NTR,1.916462479,2,
1928-02-15,SPX-UCITS,NTR,1.912222308,2,
1928-02-16,SPX-UCITS,NTR,1.906882456,2,
1928-02-17,SPX-UCITS,NTR,1.872965965,2,
1928-02-20,SPX-UCITS,NTR,1.863529113,2,
1928-02-21,SPX-UCITS,NTR,1.881271041,2,
1928-02-23,SPX-UCITS,NTR,1.883775134,2,
1928-02-24,SPX-UCITS,NTR,1.889426336,2,
1928-02-27,SPX-UCITS,NTR,1.882187435,2,
1928-02-28,SPX-UCITS,NTR,1.887840296,2,
1928-02-29,SPX-UCITS,NTR,1.89899476,2,
1928-03-01,SPX-UCITS,NTR,1.903549643,2,
1928-03-02,SPX-UCITS,NTR,1.903703981,2,
1928-03-05,SPX-UCITS,NTR,1.933878018,2,
1928-03-06,SPX-UCITS,NTR,1.945041519,2,
1928-03-07,SPX-UCITS,NTR,1.935292387,2,
1928-03-08,SPX-UCITS,NTR,1.942054392,2,
1928-03-09,SPX-UCITS,NTR,1.974139049,2,
1928-03-12,SPX-UCITS,NTR,1.982326411,2,
1928-03-13,SPX-UCITS,NTR,1.973676796,2,
1928-03-14,SPX-UCITS,NTR,1.974938202,2,
1928-03-15,SPX-UCITS,NTR,1.990518927,2,
1928-03-16,SPX-UCITS,NTR,2.011609956,2,
1928-03-19,SPX-UCITS,NTR,2.023115736,2,
1928-03-20,SPX-UCITS,NTR,2.034298916,2,
1928-03-21,SPX-UCITS,NTR,2.055401926,2,
1928-03-22,SPX-UCITS,NTR,2.050058115,2,
1928-03-23,SPX-UCITS,NTR,2.070063603,2,
1928-03-26,SPX-UCITS,NTR,2.100328415,2,
1928-03-27,SPX-UCITS,NTR,2.088370826,2,
1928-03-28,SPX-UCITS,NTR,2.083027026,2,
1928-03-29,SPX-UCITS,NTR,2.089812201,2,
1928-03-30,SPX-UCITS,NTR,2.126374148,2,
1928-04-02,SPX-UCITS,NTR,2.086156866,2,
1928-04-03,SPX-UCITS,NTR,2.098484945,2,
1928-04-04,SPX-UCITS,NTR,2.095369018,2,
1928-04-05,SPX-UCITS,NTR,2.122044472,2,
1928-04-09,SPX-UCITS,NTR,2.127243155,2,
1928-04-10,SPX-UCITS,NTR,2.108673254,2,
1928-04-11,SPX-UCITS,NTR,2.146404773,2,
1928-04-12,SPX-UCITS,NTR,2.143290835,2,
1928-04-13,SPX-UCITS,NTR,2.178824,2,
1928-04-16,SPX-UCITS,NTR,2.173906635,2,
1928-04-17,SPX-UCITS,NTR,2.156433555,2,
1928-04-18,SPX-UCITS,NTR,2.156632897,2,
1928-04-19,SPX-UCITS,NTR,2.168985415,2,
1928-04-20,SPX-UCITS,NTR,2.137142832,2,
1928-04-23,SPX-UCITS,NTR,2.116739794,2,
1928-04-24,SPX-UCITS,NTR,2.127988939,2,
1928-04-25,SPX-UCITS,NTR,2.137029242,2,
1928-04-26,SPX-UCITS,NTR,2.152704499,2,
1928-04-27,SPX-UCITS,NTR,2.176122189,2,
1928-04-30,SPX-UCITS,NTR,2.184465949,2,
1928-05-01,SPX-UCITS,NTR,2.187986059,2,
1928-05-02,SPX-UCITS,NTR,2.193719122,2,
1928-05-03,SPX-UCITS,NTR,2.204984539,2,
1928-05-04,SPX-UCITS,NTR,2.23948567,2,
1928-05-07,SPX-UCITS,NTR,2.258916639,2,
1928-05-08,SPX-UCITS,NTR,2.243630682,2,
1928-05-09,SPX-UCITS,NTR,2.240517467,2,
1928-05-10,SPX-UCITS,NTR,2.237403657,2,
1928-05-11,SPX-UCITS,NTR,2.254216647,2,
1928-05-14,SPX-UCITS,NTR,2.263699225,2,
1928-05-15,SPX-UCITS,NTR,2.258371058,2,
1928-05-16,SPX-UCITS,NTR,2.220921846,2,
1928-05-17,SPX-UCITS,NTR,2.228880992,2,
1928-05-18,SPX-UCITS,NTR,2.206931157,2,
1928-05-21,SPX-UCITS,NTR,2.175414171,2,
1928-05-22,SPX-UCITS,NTR,2.145693626,2,
1928-05-23,SPX-UCITS,NTR,2.189116176,2,
1928-05-24,SPX-UCITS,NTR,2.202619498,2,
1928-05-25,SPX-UCITS,NTR,2.206148656,2,
1928-05-28,SPX-UCITS,NTR,2.170176095,2,
1928-05-29,SPX-UCITS,NTR,2.198099959,2,
1928-05-31,SPX-UCITS,NTR,2.21846891,2,
1928-06-01,SPX-UCITS,NTR,2.226438628,2,
1928-06-04,SPX-UCITS,NTR,2.197103981,2,
1928-06-05,SPX-UCITS,NTR,2.202855325,2,
1928-06-06,SPX-UCITS,NTR,2.181973694,2,
1928-06-07,SPX-UCITS,NTR,2.176626125,2,
1928-06-08,SPX-UCITS,NTR,2.150188361,2,
1928-06-11,SPX-UCITS,NTR,2.07419044,2,
1928-06-12,SPX-UCITS,NTR,2.036629249,2,
1928-06-13,SPX-UCITS,NTR,2.097894184,2,
1928-06-14,SPX-UCITS,NTR,2.115857468,2,
1928-06-15,SPX-UCITS,NTR,2.081621783,2,
1928-06-18,SPX-UCITS,NTR,2.044432179,2,
1928-06-19,SPX-UCITS,NTR,2.037954542,2,
