Asset_Code,Price_Type,Date,Price,Proxy_Level,Proxy_Name
SPX2,NTR,1927-12-30,4.324978465,2,
SPX3,NTR,1927-12-30,4.215942854,2,
SPX2,GTR,1927-12-30,2.055187374,2,
SPX3,GTR,1927-12-30,1.980114565,2,
SPX2,NTR,1928-01-03,4.350222241,2,
SPX3,NTR,1928-01-03,4.240988912,2,
SPX2,GTR,1928-01-03,2.067337238,2,
SPX3,GTR,1928-01-03,1.992117557,2,
SPX2,NTR,1928-01-04,4.340613924,2,
SPX3,NTR,1928-01-04,4.231732183,2,
SPX2,GTR,1928-01-04,2.062809914,2,
SPX3,GTR,1928-01-04,1.987829646,2,
SPX2,NTR,1928-01-05,4.299160528,2,
SPX3,NTR,1928-01-05,4.191428705,2,
SPX2,GTR,1928-01-05,2.043148536,2,
SPX3,GTR,1928-01-05,1.968957457,2,
SPX2,NTR,1928-01-06,4.326294089,2,
SPX3,NTR,1928-01-06,4.217991368,2,
SPX2,GTR,1928-01-06,2.056081929,2,
SPX3,GTR,1928-01-06,1.981495029,2,
SPX2,NTR,1928-01-09,4.287663082,2,
SPX3,NTR,1928-01-09,4.180656614,2,
SPX2,GTR,1928-01-09,2.037838199,2,
SPX3,GTR,1928-01-09,1.964135977,2,
SPX2,NTR,1928-01-10,4.255998626,2,
SPX3,NTR,1928-01-10,4.149891158,2,
SPX2,GTR,1928-01-10,2.022826975,2,
SPX3,GTR,1928-01-10,1.949741299,2,
SPX2,NTR,1928-01-11,4.251283602,2,
SPX3,NTR,1928-01-11,4.14540164,2,
SPX2,GTR,1928-01-11,2.020623938,2,
SPX3,GTR,1928-01-11,1.947690956,2,
SPX2,NTR,1928-01-12,4.280872463,2,
SPX3,NTR,1928-01-12,4.174361404,2,
SPX2,GTR,1928-01-12,2.034725365,2,
SPX3,GTR,1928-01-12,1.961356423,2,
SPX2,NTR,1928-01-13,4.308013472,2,
SPX3,NTR,1928-01-13,4.200935718,2,
SPX2,GTR,1928-01-13,2.047663839,2,
SPX3,GTR,1928-01-13,1.973901889,2,
SPX2,NTR,1928-01-16,4.23751133,2,
SPX3,NTR,1928-01-16,4.13251379,2,
SPX2,GTR,1928-01-16,2.014268385,2,
SPX3,GTR,1928-01-16,1.941931432,2,
SPX2,NTR,1928-01-17,4.240146747,2,
SPX3,NTR,1928-01-17,4.135191409,2,
SPX2,GTR,1928-01-17,2.015558909,2,
SPX3,GTR,1928-01-17,1.943248415,2,
SPX2,NTR,1928-01-18,4.230527625,2,
SPX3,NTR,1928-01-18,4.12591796,2,
SPX2,GTR,1928-01-18,2.011024271,2,
SPX3,GTR,1928-01-18,1.938949317,2,
SPX2,NTR,1928-01-19,4.260124599,2,
SPX3,NTR,1928-01-19,4.154890411,2,
SPX2,GTR,1928-01-19,2.025131232,2,
SPX3,GTR,1928-01-19,1.952623378,2,
SPX2,NTR,1928-01-20,4.284821804,2,
SPX3,NTR,1928-01-20,4.179085628,2,
SPX2,GTR,1928-01-20,2.036909521,2,
SPX3,GTR,1928-01-20,1.964053163,2,
SPX2,NTR,1928-01-23,4.324602037,2,
SPX3,NTR,1928-01-23,4.218210352,2,
SPX2,GTR,1928-01-23,2.055934836,2,
SPX3,GTR,1928-01-23,1.982618881,2,
SPX2,NTR,1928-01-24,4.341951521,2,
SPX3,NTR,1928-01-24,4.235242745,2,
SPX2,GTR,1928-01-24,2.064221438,2,
SPX3,GTR,1928-01-24,1.990684308,2,
SPX2,NTR,1928-01-25,4.29555844,2,
SPX3,NTR,1928-01-25,4.190100006,2,
SPX2,GTR,1928-01-25,2.042204288,2,
SPX3,GTR,1928-01-25,1.969526143,2,
SPX2,NTR,1928-01-26,4.32271537,2,
SPX3,NTR,1928-01-26,4.216699219,2,
SPX2,GTR,1928-01-26,2.055153622,2,
SPX3,GTR,1928-01-26,1.982088474,2,
SPX2,NTR,1928-01-27,4.337615106,2,
SPX3,NTR,1928-01-27,4.231343227,2,
SPX2,GTR,1928-01-27,2.062275987,2,
SPX3,GTR,1928-01-27,1.989031934,2,
SPX2,NTR,1928-01-30,4.289141594,2,
SPX3,NTR,1928-01-30,4.184387542,2,
SPX2,GTR,1928-01-30,2.039345838,2,
SPX3,GTR,1928-01-30,1.967139887,2,
SPX2,NTR,1928-01-31,4.308947129,2,
SPX3,NTR,1928-01-31,4.203818218,2,
SPX2,GTR,1928-01-31,2.048800989,2,
SPX3,GTR,1928-01-31,1.976334014,2,
SPX2,NTR,1928-02-01,4.299573674,2,
SPX3,NTR,1928-02-01,4.194540234,2,
SPX2,GTR,1928-02-01,2.044433518,2,
SPX3,GTR,1928-02-01,1.972031941,2,
SPX2,NTR,1928-02-02,4.324535998,2,
SPX3,NTR,1928-02-02,4.218759833,2,
SPX2,GTR,1928-02-02,2.056392216,2,
SPX3,GTR,1928-02-02,1.983478245,2,
SPX2,NTR,1928-02-03,4.268556248,2,
SPX3,NTR,1928-02-03,4.164015628,2,
SPX2,GTR,1928-02-03,2.029862583,2,
SPX3,GTR,1928-02-03,1.957799875,2,
SPX2,NTR,1928-02-06,4.282118927,2,
SPX3,NTR,1928-02-06,4.176850268,2,
SPX2,GTR,1928-02-06,2.036577828,2,
SPX3,GTR,1928-02-06,1.96401198,2,
SPX2,NTR,1928-02-07,4.280098601,2,
SPX3,NTR,1928-02-07,4.174747244,2,
SPX2,GTR,1928-02-07,2.035705809,2,
SPX3,GTR,1928-02-07,1.963082506,2,
SPX2,NTR,1928-02-08,4.292802932,2,
SPX3,NTR,1928-02-08,4.187006568,2,
SPX2,GTR,1928-02-08,2.041837071,2,
SPX3,GTR,1928-02-08,1.968906551,2,
SPX2,NTR,1928-02-09,4.307964222,2,
SPX3,NTR,1928-02-09,4.20166152,2,
SPX2,GTR,1928-02-09,2.049137494,2,
SPX3,GTR,1928-02-09,1.97585747,2,
SPX2,NTR,1928-02-10,4.305945769,2,
SPX3,NTR,1928-02-10,4.199559722,2,
SPX2,GTR,1928-02-10,2.048266789,2,
SPX3,GTR,1928-02-10,1.974928842,2,
SPX2,NTR,1928-02-14,4.283140571,2,
SPX3,NTR,1928-02-14,4.176785627,2,
SPX2,GTR,1928-02-14,2.037776174,2,
SPX3,GTR,1928-02-14,1.964457766,2,
SPX2,NTR,1928-02-15,4.273750569,2,
SPX3,NTR,1928-02-15,4.167496425,2,
SPX2,GTR,1928-02-15,2.033397624,2,
SPX3,GTR,1928-02-15,1.960148208,2,
SPX2,NTR,1928-02-16,4.26190244,2,
SPX3,NTR,1928-02-16,4.155810795,2,
SPX2,GTR,1928-02-16,2.027849142,2,
SPX3,GTR,1928-02-16,1.954711246,2,
SPX2,NTR,1928-02-17,4.186184738,2,
SPX3,NTR,1928-02-17,4.081846237,2,
SPX2,GTR,1928-02-17,1.991910489,2,
SPX3,GTR,1928-02-17,1.919980676,2,
SPX2,NTR,1928-02-20,4.165346296,2,
SPX3,NTR,1928-02-20,4.061139119,2,
SPX2,GTR,1928-02-20,1.982255645,2,
SPX3,GTR,1928-02-20,1.910414851,2,
SPX2,NTR,1928-02-21,4.205086986,2,
SPX3,NTR,1928-02-21,4.099756891,2,
SPX2,GTR,1928-02-21,2.001254407,2,
SPX3,GTR,1928-02-21,1.92863895,2,
SPX2,NTR,1928-02-23,4.210853963,2,
SPX3,NTR,1928-02-23,4.105119571,2,
SPX2,GTR,1928-02-23,2.004173601,2,
SPX3,GTR,1928-02-23,1.931278357,2,
SPX2,NTR,1928-02-24,4.223571233,2,
SPX3,NTR,1928-02-24,4.117387418,2,
SPX2,GTR,1928-02-24,2.010313875,2,
SPX3,GTR,1928-02-24,1.937108247,2,
SPX2,NTR,1928-02-27,4.207645316,2,
SPX3,NTR,1928-02-27,4.101470448,2,
SPX2,GTR,1928-02-27,2.00299665,2,
SPX3,GTR,1928-02-27,1.929795536,2,
SPX2,NTR,1928-02-28,4.220367251,2,
SPX3,NTR,1928-02-28,4.113741384,2,
SPX2,GTR,1928-02-28,2.009140151,2,
SPX3,GTR,1928-02-28,1.935627534,2,
SPX2,NTR,1928-02-29,4.245388824,2,
SPX3,NTR,1928-02-29,4.138000431,2,
SPX2,GTR,1928-02-29,2.021139527,2,
